Model Name,Dataset,Quantization Batch Size,Original Top1 Accuracy,Quantized Top1 Accuracy,Original Top5 Accuracy,Quantized Top5 Accuracy,Bits,Alphabet_Scalar,Percentile,Include 0,Retain_rate,Seed,Author
alexnet,ILSVRC2012,256,0.56522,0.42796,0.79066,0.68914,3,1,0.989,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.43528,0.79066,0.69958,3,1,0.99,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.44984,0.79066,0.70834,3,1,0.991,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.4588,0.79066,0.71368,3,1,0.992,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.46168,0.79066,0.71584,3,1,0.993,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.46578,0.79066,0.72026,3,1,0.994,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.47314,0.79066,0.72616,3,1,0.995,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.48238,0.79066,0.73066,3,1,0.996,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.48154,0.79066,0.73382,3,1,0.997,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.49152,0.79066,0.74056,3,1,0.998,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.44942,0.79066,0.7079,4,1,0.989,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.46428,0.79066,0.72074,4,1,0.99,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.46118,0.79066,0.71678,4,1,0.991,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.47494,0.79066,0.72496,4,1,0.992,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.48466,0.79066,0.73308,4,1,0.993,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.4917,0.79066,0.73954,4,1,0.994,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.49424,0.79066,0.7438,4,1,0.995,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.50332,0.79066,0.74818,4,1,0.996,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.50504,0.79066,0.75214,4,1,0.997,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.51356,0.79066,0.75578,4,1,0.998,True,0.25,0,Yixuan
alexnet,ILSVRC2012,1024,0.56522,0.52162,0.79066,0.76366,3,1,1.0,True,0.25,0,Yixuan
alexnet,ILSVRC2012,2048,0.56522,0.53158,0.79066,0.76988,3,1,1.0,True,0.25,0,Yixuan
alexnet,ILSVRC2012,1024,0.56522,0.54572,0.79066,0.77988,4,1,1.0,True,0.25,0,Yixuan
alexnet,ILSVRC2012,2048,0.56522,0.55086,0.79066,0.7813,4,1,1.0,True,0.25,0,Yixuan
